"cname","ccode","year","type","int","cumint"
"Myanmar (Burma)",775,1982,3,2,1
"Myanmar (Burma)",775,1983,3,1,1
"Myanmar (Burma)",775,1984,3,1,1
"Myanmar (Burma)",775,1986,3,2,1
"Myanmar (Burma)",775,1988,3,2,1
"Myanmar (Burma)",775,1992,3,1,1
"Myanmar (Burma)",775,1991,3,1,0
"Myanmar (Burma)",775,1992,3,1,0
"Myanmar (Burma)",775,1994,3,1,0
"Myanmar (Burma)",775,1990,3,1,0
"India",750,1990,3,1,1
"India",750,1991,3,1,1
"India",750,1992,3,1,1
"India",750,1996,3,1,1
"India",750,1997,3,1,1
"India",750,1998,3,1,1
"India",750,1999,3,1,1
"Myanmar (Burma)",775,1989,3,1,1
"Myanmar (Burma)",775,1987,3,1,0
"Myanmar (Burma)",775,1994,3,2,1
"Myanmar (Burma)",775,1996,3,1,1
"Ethiopia",530,1981,3,1,1
"Philippines",840,1981,3,2,1
"Philippines",840,1982,3,1,1
"Philippines",840,1983,3,1,1
"Philippines",840,1984,3,1,1
"Philippines",840,1985,3,1,1
"Philippines",840,1986,3,1,1
"Philippines",840,1987,3,1,1
"Philippines",840,1990,3,1,1
"Iran",630,1981,2,2,1
"Iran",630,1982,2,2,1
"Iran",630,1983,2,2,1
"Iran",630,1984,2,2,1
"Iran",630,1985,2,2,1
"Iran",630,1986,2,2,1
"Iran",630,1987,2,2,1
"Iran",630,1988,2,2,1
"Ethiopia",530,1981,4,1,1
"Ethiopia",530,1982,4,1,1
"Ethiopia",530,1983,4,1,1
"Indonesia",850,1981,3,1,1
"India",750,1984,3,1,0
"India",750,1987,3,1,0
"India",750,1992,3,1,0
"India",750,1993,3,1,0
"India",750,1995,3,1,0
"India",750,1997,3,1,0
"India",750,1998,3,1,0
"India",750,1999,3,1,0
"Iran",630,1981,3,2,1
"South Africa",560,1981,3,1,1
"South Africa",560,1982,3,1,0
"South Africa",560,1983,3,1,0
"South Africa",560,1985,3,1,0
"South Africa",560,1986,3,1,0
"South Africa",560,1987,3,1,0
"South Africa",560,1988,3,1,0
"India",750,1994,3,1,0
"India",750,1996,3,1,0
"Chad",483,1983,2,1,0
"India",750,1987,3,1,1
"India",750,1988,3,2,1
"India",750,1989,3,2,1
"India",750,1990,3,2,1
"India",750,1991,3,2,1
"India",750,1992,3,2,1
"Sri Lanka ",780,1989,3,1,1
"Sri Lanka ",780,1990,3,2,1
"Chad",483,1987,2,2,1
"Ethiopia",530,1996,3,1,0
"India",750,1989,3,1,0
"India",750,1993,3,2,1
"India",750,1999,3,2,1
"India",750,1990,3,1,0
"India",750,1991,3,1,0
"Panama",95,1989,2,1,0
"Iraq",645,1990,2,2,1
"Iraq",645,1991,2,2,1
"Turkey",640,1991,3,1,0
"Turkey",640,1992,3,1,0
"Serbia (Yugoslavia)",345,1991,3,2,1
"Angola",540,1991,3,1,0
"Angola",540,1994,3,1,0
"Angola",540,1998,3,1,0
"Georgia",372,1993,3,2,1
"Azerbaijan",373,1993,3,1,0
"Bosnia-Herzegovina",346,1993,3,1,0
"Bosnia-Herzegovina",346,1994,3,1,0
"Bosnia-Herzegovina",346,1995,3,1,0
"Bosnia-Herzegovina",346,1994,3,1,1
"Eritrea",531,1999,2,2,1
"Ethiopia",530,1983,3,1,1
"Ethiopia",530,1984,3,1,1
"Ethiopia",530,1985,3,1,1
"Ethiopia",530,1987,3,1,1
"Ethiopia",530,1988,3,1,1
"Ethiopia",530,1989,3,1,1
"Ethiopia",530,1990,3,1,1
"Ethiopia",530,1991,3,1,1
"Russia (Soviet Union)",365,1999,3,1,0
"Myanmar (Burma)",775,1997,3,1,0
"Israel",666,1990,3,1,0
"Israel",666,1991,3,1,0
"Israel",666,1992,3,1,0
"Israel",666,1993,3,1,0
"Israel",666,1994,3,1,0
"Israel",666,1995,3,1,0
"Israel",666,1996,3,1,0
"Ethiopia",530,1983,3,1,0
"Myanmar (Burma)",775,1981,3,1,0
"Ethiopia",530,1991,3,1,0
